record_date,transaction_today_amt
2020-03-09,34
2020-03-10,61
2020-03-11,43
2020-03-12,88
2020-03-13,299
2020-03-16,62
2020-03-17,100
2020-03-18,254
2020-03-19,64
2020-03-20,390
2020-03-23,725
2020-03-24,96
2020-03-25,167
2020-03-26,27
2020-03-27,227
2020-03-30,222
2020-03-31,122
2020-04-01,203
2020-04-02,85
2020-04-03,46
2020-04-06,43
2020-04-07,16
2020-04-08,53
2020-04-09,218
2020-04-10,46
2020-04-13,24
2020-04-14,103
2020-04-15,124
2020-04-16,181
2020-04-17,338
2020-04-20,359
2020-04-21,71
2020-04-22,82
2020-04-23,638
2020-04-24,115
2020-04-27,179
2020-04-28,28
2020-04-29,156
2020-04-30,163
2020-05-01,206
2020-05-04,87
2020-05-05,29
2020-05-06,42
2020-05-07,31
2020-05-08,259
2020-05-11,22
2020-05-12,19
2020-05-13,34
2020-05-14,77
2020-05-15,188
2020-05-18,279
2020-05-19,161
2020-05-20,396
2020-05-21,853
2020-05-22,182
2020-05-26,43
2020-05-27,32
2020-05-28,317
2020-05-29,214
2020-06-01,208
2020-06-02,25
2020-06-03,59
2020-06-04,45
2020-06-05,178
2020-06-08,70
2020-06-09,19
2020-06-10,61
2020-06-11,34
2020-06-12,48
2020-06-15,212
2020-06-16,461
2020-06-17,38
2020-06-18,194
2020-06-19,496
2020-06-22,737
2020-06-23,124
2020-06-24,80
2020-06-25,262
2020-06-26,65
2020-06-29,45
2020-06-30,169
2020-07-01,212
2020-07-02,115
2020-07-03,6
2020-07-06,46
2020-07-07,10
2020-07-08,34
2020-07-09,27
2020-07-10,230
2020-07-13,24
2020-07-14,40
2020-07-15,237
2020-07-16,286
2020-07-17,133
2020-07-20,241
2020-07-21,202
2020-07-22,63
2020-07-23,406
2020-07-24,596
2020-07-27,87
2020-07-28,25
2020-07-29,36
2020-07-30,201
2020-07-31,103
2020-08-03,116
2020-08-04,15
2020-08-05,17
2020-08-06,27
2020-08-07,181
2020-08-10,52
2020-08-11,25
