record_date,transaction_today_amt
2020-09-21,26
2020-09-22,416
2020-09-23,36
2020-09-24,26
2020-09-25,18
2020-09-28,190
2020-09-29,343
2020-09-30,233
2020-10-01,77
2020-10-02,28
2020-10-05,30
2020-10-06,36
2020-10-07,39
2020-10-08,27
2020-10-09,31
2020-10-13,31
2020-10-14,36
2020-10-15,96
2020-10-16,46
2020-10-19,51
2020-10-20,59
2020-10-21,63
2020-10-22,59
2020-10-23,113
2020-10-26,142
2020-10-27,120
2020-10-28,362
2020-10-29,123
2020-10-30,199
2020-11-02,868
2020-11-03,496
2020-11-04,559
2020-11-05,465
2020-11-06,93
2020-11-09,83
2020-11-10,52
2020-11-12,117
2020-11-13,54
2020-11-16,32
2020-11-17,90
2020-11-18,36
2020-11-19,383
2020-11-20,115
2020-11-23,25
2020-11-24,28
2020-11-25,33
2020-11-27,10
2020-11-30,54
2020-12-01,37
2020-12-02,123
2020-12-03,112
2020-12-04,17
2020-12-07,33
2020-12-08,17
2020-12-09,23
2020-12-10,429
2020-12-11,775
2020-12-14,195
2020-12-15,16
2020-12-16,353
2020-12-17,206
2020-12-18,68
2020-12-21,13
2020-12-22,429
2020-12-23,19
2020-12-24,230
2020-12-28,19
2020-12-29,136
2020-12-30,439
2020-12-31,21
2021-01-04,18
2021-01-05,133
2021-01-06,34
2021-01-07,30
2021-01-08,24
2021-01-11,133
2021-01-12,56
2021-01-13,87
2021-01-14,44
2021-01-15,127
2021-01-19,245
2021-01-20,59
2021-01-21,69
2021-01-22,57
2021-01-25,127
2021-01-26,130
2021-01-27,99
2021-01-28,135
2021-01-29,150
2021-02-01,749
2021-02-02,598
2021-02-03,434
2021-02-04,445
2021-02-05,97
2021-02-08,60
2021-02-09,50
2021-02-10,96
2021-02-11,35
2021-02-12,30
2021-02-16,51
2021-02-17,42
2021-02-18,104
2021-02-19,20
2021-02-22,107
2021-02-23,24
2021-02-24,32
2021-02-25,20
2021-02-26,17
2021-03-01,40
2021-03-02,23
2021-03-03,38
2021-03-04,24
2021-03-05,28
2021-03-08,28
2021-03-09,22
2021-03-10,163
2021-03-11,101
2021-03-12,14
2021-03-15,56
2021-03-16,25
2021-03-17,36
2021-03-18,71
2021-03-19,38
2021-03-22,337
2021-03-23,20
2021-03-24,34
2021-03-25,21
2021-03-26,24
2021-03-29,22
2021-03-30,20
2021-03-31,20
2021-04-01,29
2021-04-02,56
2021-04-05,35
2021-04-06,56
2021-04-07,56
2021-04-08,69
2021-04-09,67
2021-04-12,60
2021-04-13,237
2021-04-14,95
2021-04-15,122
2021-04-16,159
