record_date,transaction_today_amt
2020-03-09,509
2020-03-10,64
2020-03-11,58
2020-03-12,91
2020-03-13,54
2020-03-16,231
2020-03-17,145
2020-03-18,35
2020-03-19,144
2020-03-20,84
2020-03-23,100
2020-03-24,66
2020-03-25,99
2020-03-26,96
2020-03-27,50
2020-03-30,124
2020-03-31,34
2020-04-01,86
2020-04-02,62
2020-04-03,59
2020-04-06,67
2020-04-07,63
2020-04-08,145
2020-04-09,32
2020-04-10,56
2020-04-13,128
2020-04-14,138
2020-04-15,110
2020-04-16,78
2020-04-17,46
2020-04-20,182
2020-04-21,42
2020-04-22,36
2020-04-23,16
2020-04-24,184
2020-04-27,73
2020-04-28,93
2020-04-29,127
2020-04-30,110
2020-05-01,128
2020-05-04,77
2020-05-05,1165
2020-05-06,212
2020-05-07,79
2020-05-08,63
2020-05-11,957
2020-05-12,87
2020-05-13,89
2020-05-14,136
2020-05-15,143
2020-05-18,417
2020-05-19,101
2020-05-20,104
2020-05-21,72
2020-05-22,170
2020-05-26,518
2020-05-27,187
2020-05-28,50
2020-05-29,74
2020-06-01,84
2020-06-02,222
2020-06-03,111
2020-06-04,80
2020-06-05,50
2020-06-08,292
2020-06-09,115
2020-06-10,120
2020-06-11,147
2020-06-12,54
2020-06-15,254
2020-06-16,180
2020-06-17,37
2020-06-18,112
2020-06-19,214
2020-06-22,186
2020-06-23,98
2020-06-24,67
2020-06-25,141
2020-06-26,35
2020-06-29,100
2020-06-30,53
2020-07-01,78
2020-07-02,117
2020-07-03,41
2020-07-06,21
2020-07-07,94
2020-07-08,48
2020-07-09,100
2020-07-10,86
2020-07-13,100
2020-07-14,181
2020-07-15,110
2020-07-16,62
2020-07-17,101
2020-07-20,133
2020-07-21,158
2020-07-22,76
2020-07-23,54
2020-07-24,159
2020-07-27,130
2020-07-28,103
2020-07-29,147
2020-07-30,115
2020-07-31,58
2020-08-03,110
2020-08-04,141
2020-08-05,67
2020-08-06,71
2020-08-07,67
2020-08-10,196
2020-08-11,83
2020-08-12,44
2020-08-13,224
2020-08-14,180
2020-08-17,169
2020-08-18,98
2020-08-19,31
2020-08-20,101
2020-08-21,30
2020-08-24,115
2020-08-25,125
2020-08-26,70
2020-08-27,181
2020-08-28,136
2020-08-31,-53
2020-09-01,54
2020-09-02,105
2020-09-03,93
2020-09-04,94
2020-09-08,119
2020-09-09,45
2020-09-10,61
2020-09-11,29
2020-09-14,232
2020-09-15,122
2020-09-16,63
2020-09-17,91
2020-09-18,41
2020-09-21,94
2020-09-22,52
2020-09-23,43
2020-09-24,52
2020-09-25,101
2020-09-28,183
2020-09-29,62
2020-09-30,133
2020-10-01,111
2020-10-02,88
2020-10-05,65
2020-10-06,43
2020-10-07,41
2020-10-08,55
2020-10-09,64
2020-10-13,90
2020-10-14,253
2020-10-15,95
2020-10-16,76
2020-10-19,96
2020-10-20,80
2020-10-21,43
2020-10-22,38
2020-10-23,38
2020-10-26,139
2020-10-27,55
2020-10-28,214
2020-10-29,115
2020-10-30,93
2020-11-02,79
2020-11-03,189
2020-11-04,57
2020-11-05,29
2020-11-06,55
2020-11-09,107
2020-11-10,117
2020-11-12,68
2020-11-13,135
2020-11-16,112
2020-11-17,87
2020-11-18,211
2020-11-19,38
2020-11-20,115
2020-11-23,129
2020-11-24,66
2020-11-25,102
2020-11-27,55
2020-11-30,27
2020-12-01,134
2020-12-02,107
2020-12-03,342
2020-12-04,57
2020-12-07,50
2020-12-08,95
2020-12-09,36
2020-12-10,144
2020-12-11,87
2020-12-14,82
2020-12-15,158
