record_date,transaction_today_amt
2020-01-13,56
2020-01-14,46
2020-01-15,50
2020-01-16,76
2020-01-17,57
2020-01-21,52
2020-01-22,55
2020-01-23,55
2020-01-24,121
2020-01-27,34
2020-01-28,102
2020-01-29,37
2020-01-30,115
2020-01-31,8469
2020-02-03,86
2020-02-04,2
2020-02-05,6
2020-02-06,213
2020-02-07,76
2020-02-10,94
2020-02-11,40
2020-02-12,73
2020-02-13,100
2020-02-14,67
2020-02-18,67
2020-02-19,64
2020-02-20,66
2020-02-21,118
2020-02-24,59
2020-02-25,61
2020-02-26,32
2020-02-27,142
2020-02-28,8849
2020-03-02,77
2020-03-03,-1
2020-03-04,2
2020-03-05,318
2020-03-06,63
2020-03-09,64
2020-03-10,51
2020-03-11,51
2020-03-12,72
2020-03-13,79
2020-03-16,51
2020-03-17,45
2020-03-18,47
2020-03-19,79
2020-03-20,53
2020-03-23,53
2020-03-24,51
2020-03-25,56
2020-03-26,52
2020-03-27,80
2020-03-30,48
2020-03-31,50
2020-04-01,8928
2020-04-02,-3
2020-04-03,1
2020-04-06,197
2020-04-07,83
2020-04-08,20
2020-04-09,60
2020-04-10,53
2020-04-13,50
2020-04-14,44
2020-04-15,45
2020-04-16,74
2020-04-17,44
2020-04-20,54
2020-04-21,50
2020-04-22,43
2020-04-23,60
2020-04-24,51
2020-04-27,27
2020-04-28,63
2020-04-29,39
2020-04-30,68
2020-05-01,8963
2020-05-04,-1
2020-05-05,1
2020-05-06,144
2020-05-07,77
2020-05-08,48
2020-05-11,52
2020-05-12,43
2020-05-13,44
2020-05-14,62
2020-05-15,51
2020-05-18,46
2020-05-19,48
2020-05-20,42
2020-05-21,66
2020-05-22,46
2020-05-26,49
2020-05-27,26
2020-05-28,56
2020-05-29,54
2020-06-01,8745
2020-06-02,0
2020-06-03,-2
2020-06-04,135
2020-06-05,42
2020-06-08,60
2020-06-09,43
2020-06-10,40
2020-06-11,69
2020-06-12,44
2020-06-15,45
2020-06-16,43
2020-06-17,39
2020-06-18,65
2020-06-19,41
2020-06-22,42
2020-06-23,43
2020-06-24,38
2020-06-25,27
2020-06-26,83
2020-06-29,40
2020-06-30,38
2020-07-01,8665
2020-07-02,-3
2020-07-03,0
2020-07-06,-5
2020-07-07,160
2020-07-08,42
2020-07-09,46
2020-07-10,41
2020-07-13,43
2020-07-14,42
2020-07-15,42
2020-07-16,46
2020-07-17,47
2020-07-20,47
2020-07-21,46
2020-07-22,45
2020-07-23,77
2020-07-24,77
2020-07-27,4
2020-07-28,62
2020-07-29,45
2020-07-30,70
2020-07-31,8626
2020-08-03,95
2020-08-04,4
2020-08-05,99
2020-08-06,66
2020-08-07,44
2020-08-10,65
2020-08-11,57
2020-08-12,44
2020-08-13,101
2020-08-14,49
2020-08-17,56
2020-08-18,51
2020-08-19,113
2020-08-20,118
2020-08-21,57
2020-08-24,61
2020-08-25,59
2020-08-26,27
2020-08-27,106
2020-08-28,65
2020-08-31,64
2020-09-01,8699
2020-09-02,1
2020-09-03,-4
2020-09-04,237
2020-09-08,70
2020-09-09,65
2020-09-10,62
